player1,player2,pair_elo,matches_together
Daescu A.,Wright M.,6.433357897327684,5
Loyd M.,Montoya N.,5.88578234183064,5
Rettenmaier T.,Wright M.,6.208406638587916,5
Burrows W.,Lange E.,6.072351558332093,5
Ignatowich J.,Navratil Z.,6.0106078338914095,5
Daescu A.,Tellez P.,6.3779041537814365,5
Johnson J.,Tardio G.,6.392189570629836,5
Ge A.,Koller A.,6.1259733464124135,5
Lohani A.,Nemoff C.,6.067976759572497,4
Patriquin H.,Smith P.,6.023406589597676,4
Doerner S.,Rettenmaier T.,6.020489176078929,4
Alshon C.,Bar D.,6.477730021213155,4
Finley R.,Johnson C.,5.822559257234125,4
Nunnery R.,Patriquin H.,6.079105908196841,4
Forster M.,Foster J.,5.954134869206063,4
Daescu A.,McGuffin T.,6.490492358767274,4
Fratt C.,Garcia E.,5.831323653765588,4
Perez E.,Young E.,6.006086471351848,4
Dawson C.,Young D.,5.927020886572032,4
Anderson M.,Cassidy R.,5.99542396028611,4
Vanderwarf N.,Williams C.,6.035554746240132,4
DeHeart R.,Nunnery R.,6.01120280546348,4
Gabrielsen W.,Lanier S.,5.950776683419465,4
Newell B.,Tardio G.,6.034014446057294,4
Devilliers J.,Rettenmaier T.,6.097318079740204,4
Deakin S.,Scarpa A.,6.066182815495254,4
Arnold J.,Loong T.,6.156593603711709,4
Slutsky R.,Trinh T.,6.010668016204068,4
Brown M.,Farias J.,6.070562349408096,4
Nunnery R.,Smith P.,6.1395169555073315,4
Rahachou S.,Whittaker R.,5.852358226589302,4
Arnold J.,Ge A.,6.192610137217718,4
Dawson C.,Tamaki K.,6.044444514417431,4
Lewis K.,Markowitz E.,5.827882516570843,4
Duong Q.,Teoni P.,5.941456757410795,4
Davis F.,Felsenthal A.,5.965126114429033,4
Duong B.,Duong Q.,5.902924917359381,4
Cincola J.,Navratil Z.,6.136765085810898,4
Devilliers J.,Lange E.,6.119000625561204,4
Burrows W.,Garnett C.,5.963634353792188,4
Roditi D.,Sherry R.,5.908099476927726,4
Andrews J.,Perez E.,6.049844645099714,4
Dawson C.,Stone W.,6.006998478309882,4
Locklear P.,Smith S.,6.0038434305298125,4
Bar D.,Devilliers J.,6.152519790476303,4
Harvey A.,Reyes R.,5.912433458366945,4
Perez E.,Wasson L.,5.937412926927419,4
Morrow T.,Shekar K.,6.0653451601022965,4
Goldberg J.,Venkatesan M.,5.933366075033836,4
Alhouni M.,Smith S.,6.058298673230106,4
Burrows W.,Deakin S.,6.094494605155357,4
Dawidjan R.,Laura C.,5.891667392433052,4
Lohani A.,Roddy E.,6.061646462937542,4
Jensen D.,Newcombe R.,6.151257908204403,4
Brown M.,Roddy E.,6.1280355690374115,4
Estareja R.,Mcmakin K.,5.911367764837216,4
Hutchins R.,Mcauley D.,5.981035312455467,4
Smith P.,Tardio G.,6.003901765177277,4
Dobran J.,Roddy E.,6.047572420187108,4
Goldin G.,Madonia S.,5.987938424794499,4
Fought T.,Wren T.,6.117431024751893,4
Krishnaswamy S.,Read A.,6.164930511560677,4
Deakin S.,Locklear P.,5.983738009090765,4
Brown M.,Scarpa A.,6.060093643932166,4
Gustad A.,Harvey A.,5.9700077734807335,4
Patriquin H.,Stone W.,6.01389697503699,4
Garnett C.,Lane B.,6.031302069748535,4
Brown M.,Vegas M.,6.043651336493632,4
Lange E.,Loong T.,6.1405306629010274,4
Emmrich M.,Siljestrom A.,6.072327556837922,4
Boydston C.,Larson B.,5.906135620539228,4
Alshon C.,Stone W.,5.984198122514906,4
Delgado J.,Perez E.,5.931942295803104,4
Loyd M.,Nemoff C.,6.0108754119312335,4
Andrews J.,Joseph G.,5.993487580955925,3
Loong T.,Vich J.,6.244856700461704,3
Brown M.,Whittaker R.,6.056688141276791,3
Bellamy R.,Fought T.,6.19254161152877,3
Alvarez J.,Sherry R.,5.926222597371994,3
Navratil Z.,Smith S.,6.041739232598044,3
Forsythe E.,Jenkins J.,5.960825052394695,3
Morariu M.,Weinbach D.,5.886920211292624,3
Ge A.,Loyd M.,5.958898898175552,3
Kusmider J.,Neumann A.,5.944941637914194,3
Frazier D.,Johnson Y.,6.208296943446741,3
Garnett C.,Rettenmaier T.,6.187422047536779,3
Agoglia M.,Garza A.,5.882805375179401,3
Gonzalez I.,Smosna R.,5.889817609390894,3
Hewett R.,Smith S.,6.128421254064049,3
Jakovljevic I.,Scarpa A.,5.908706601919687,3
Dobran J.,Shick C.,6.000858412729298,3
Hewett R.,Oncins E.,6.115869700959659,3
Rettenmaier T.,Yates K.,6.065845414966068,3
Koszuta K.,Nemoff C.,5.903340542581156,3
Laura C.,Munro J.,5.951666583511146,3
Bass S.,Brown M.,5.955590881662084,3
Ge A.,Oncins E.,6.22819771910286,3
Bar D.,Ignatowich J.,6.29502680252306,3
McNulty J.,Roddy E.,6.046435704831317,3
Kusmider J.,Scarpa A.,5.982936390514951,3
Walker A.,Walker J.,5.88448096540181,3
Benitez J.,Delgado J.,6.0156759472393,3
Koszuta K.,Marsh J.,5.944108276012088,3
Emmrich M.,Smith P.,5.975411878349827,3
Irizarry E.,Sobek W.,5.940854867314084,3
Alhouni M.,Campbell C.,5.93562653759405,3
Alda M.,Boyer D.,5.924018663281222,3
Burrows W.,Johnson Y.,6.046033704588262,3
Chapman B.,Deakin S.,5.8765226882654265,3
Legarreta A.,Montoya N.,6.0089649499681705,3
Lanier S.,Whitehead G.,5.987972868939386,3
Frazier D.,Tellez P.,6.338807841553988,3
Newman R.,Vich J.,6.1859346508858275,3
Locklear P.,Oxler J.,5.996199373328131,3
Goldberg J.,Neumann A.,5.938052186730887,3
Newell B.,Taylor Z.,5.936331606893937,3
Johnson C.,Marsh J.,5.924574673889135,3
Keenum C.,Venkatesan M.,5.9745528051891785,3
Duong Q.,Taylor C.,6.261423330051115,3
Angelo S.,Finley R.,6.008730599661466,3
Andrews J.,Jakovljevic I.,5.9663892891986094,3
Beasley N.,Whittaker R.,5.9829929740365015,3
Patriquin H.,Young D.,6.2164591206616056,3
Hickman B.,Jauschneg E.,5.897486296414486,3
Shearer D.,Venkatesan M.,5.830544268092868,3
Daescu A.,Frazier D.,6.23726185342161,3
Tellez P.,Vich J.,6.30682524518728,3
Johns C.,Koller A.,6.205736722691419,3
Brautman C.,LaMacchio A.,5.990534189127127,3
Hovenier B.,Khlif N.,6.203603481899137,3
Smith S.,Tardio G.,6.143156739290792,3
Duong Q.,Frazier D.,6.34359744618822,3
Benitez J.,Quinones C.,5.991284667587883,3
Cassidy R.,Garnett C.,6.18039295585042,3
Davis F.,Livornese R.,5.933014265197842,3
Lane B.,McNulty J.,5.940531794637085,3
Andrews J.,Campbell C.,5.977333465079208,3
Bar D.,Patriquin H.,6.354465850967857,3
