player1,player2,pair_elo,matches_together
Dobran J.,Roddy E.,6.0474470975436185,4
Hutchins R.,Mcauley D.,5.980639751221411,4
Hewett R.,Johnson H.,6.172346985402487,4
Dawson C.,Tamaki K.,6.045970801205212,4
Brown M.,Farias J.,6.069390086188415,4
Vanderwarf N.,Williams C.,6.027992741734717,4
Locklear P.,Smith S.,6.002672845969248,4
Krishnaswamy S.,Read A.,6.168398141559484,4
Nunnery R.,Smith P.,6.14223509032869,4
Bar D.,Devilliers J.,6.154664365252658,4
Duong Q.,Teoni P.,5.942907586845548,4
Rettenmaier T.,Young D.,6.194668940463732,4
Davis F.,Felsenthal A.,5.9654546562669415,4
Perez E.,Young E.,6.003163183114352,4
Garnett C.,Lane B.,6.030917582679315,4
Emmrich M.,Siljestrom A.,6.073263054355222,4
Patriquin H.,Stone W.,6.020389871065047,4
Rahachou S.,Whittaker R.,5.853033528042252,4
Brown M.,Vegas M.,6.038378012675594,4
DeHeart R.,Nunnery R.,6.017091549881151,4
Dawidjan R.,Laura C.,5.890011645334935,4
Brown M.,Hewett R.,6.154190790339084,4
Lange E.,Loong T.,6.14038710456962,4
Alshon C.,Stone W.,5.984668376557607,4
Deakin S.,Scarpa A.,6.018030640198266,4
Devilliers J.,Rettenmaier T.,6.102844024290944,4
Loyd M.,Nemoff C.,6.01302770521878,4
Brown M.,Scarpa A.,6.064935625943814,4
Nunnery R.,Patriquin H.,6.0735494066493585,4
Finley R.,Johnson C.,5.824697866377045,4
Newell B.,Tardio G.,6.076866572264318,4
Gabrielsen W.,Lanier S.,5.95237287420862,4
Deakin S.,Roddy E.,5.992033972106285,4
Burrows W.,Garnett C.,5.963634353792188,4
Arnold J.,Johnson H.,6.240035864856477,3
Bar D.,Johnson H.,6.284526158862072,3
Oncins E.,Young D.,6.151178061220931,3
Alvarez J.,Sherry R.,5.926406699118323,3
Goldin G.,Madonia S.,5.989654350941086,3
Gonzalez T.,Vanderwarf N.,5.909437896847264,3
Finley R.,Jensen D.,5.910964080482028,3
Morariu M.,Weinbach D.,5.887074670628196,3
Laura C.,Munro J.,5.955010572351011,3
Koszuta K.,Nemoff C.,5.907309800254426,3
Alda M.,Shekar K.,5.97851297320805,3
Broker J.,Green M.,5.878475115482343,3
Burrows W.,Johnson Y.,6.04624319767972,3
Emmrich M.,Loyd M.,6.142941446551708,3
Khlif N.,Slutsky R.,6.176829917193442,3
Bass S.,Brown M.,5.957746606449582,3
Patriquin H.,Young D.,6.216917279162683,3
Agoglia M.,Garza A.,5.882457624101187,3
Cassidy R.,Garnett C.,6.178580485787607,3
Smith S.,Tardio G.,6.143458265989439,3
Rettenmaier T.,Yates K.,6.066148321064599,3
Hewett R.,Smith S.,6.124683449140498,3
Dobran J.,Shick C.,6.002911356608176,3
Larsen L.,Miller T.,6.011534553093979,3
Cincola J.,Dow G.,5.943465433124528,3
Emmrich M.,Smith P.,5.966794201449189,3
Lane B.,Mcmakin K.,5.903427704204263,3
Andrews J.,Joseph G.,5.993850142424284,3
Tardio G.,Weinbach D.,5.967683598428566,3
Chapman B.,Deakin S.,5.8740239132241125,3
Locklear P.,Oxler J.,5.996199373328131,3
Lanier S.,Whitehead G.,5.987972868939386,3
Alhouni M.,Campbell C.,5.937652895467197,3
